,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,menu_item
296,0,0,4.4,343,1,62,1543,100,5004
297,0,0,3.8,70,1,62,819,500,5004
298,1,0,3.8,70,1,62,1543,100,124
299,1,0,3.7,237,1,62,1567,200,2022
300,1,0,4.1,201,1,62,1593,300,1895
301,1,0,2.8,506,1,62,1328,500,5004
302,0,0,4.1,520,1,62,246,300,5004
303,0,0,3.7,88,1,62,1583,300,5004
304,1,0,3.7,136,1,62,1503,600,853
305,0,0,3.9,88,1,62,1543,250,5004
306,0,0,3.8,189,1,62,1543,300,5004
307,0,0,3.8,39,1,62,1559,350,5004
308,1,0,3.9,540,1,62,1470,800,3090
309,0,0,3.6,71,1,62,1412,250,5004
310,1,0,3.5,88,1,62,1588,350,1025
311,1,0,3.0,87,1,62,1472,600,3456
312,1,0,4.2,415,1,62,1186,500,1011
313,1,0,3.3,128,1,62,1192,300,1846
314,0,0,4.1,94,1,62,1543,100,5004
315,0,0,3.7,65,1,62,871,300,5004
316,0,0,3.5,52,1,62,1543,300,5004
317,1,0,3.0,290,1,62,1211,450,62
318,1,0,3.7,59,1,62,1447,200,5004
319,0,0,3.7,130,1,62,1543,200,5004
320,1,0,3.5,80,1,62,1666,250,4225
321,1,0,3.9,441,1,62,1588,400,1992
322,1,0,3.6,84,1,62,1585,250,733
323,0,0,4.0,42,1,62,1611,300,5004
324,1,0,3.0,213,1,62,1424,400,4326
325,0,0,4.2,725,30,62,1548,350,5004
326,1,0,3.9,750,4,20,1273,500,3283
327,0,0,3.8,166,4,20,1402,600,5004
328,0,0,4.4,4460,4,62,1543,150,5004
329,0,0,3.9,153,4,20,1543,350,5004
330,1,0,3.8,469,4,20,1204,750,1766
331,1,0,4.1,364,4,20,1562,550,4701
332,1,0,3.8,286,4,20,1152,600,3530
333,1,0,3.8,527,4,20,1152,500,406
334,1,0,3.9,101,4,62,1543,150,3856
335,1,0,4.1,558,4,62,1543,150,5004
336,0,0,3.8,148,4,22,1190,550,5004
337,0,0,2.7,377,4,57,1288,1100,5004
338,0,0,3.9,206,4,62,1581,450,5004
339,0,0,3.9,100,4,62,1585,300,5004
340,1,0,4.2,444,4,62,1543,100,3859
341,0,0,3.9,133,4,20,975,650,5004
342,1,0,4.0,219,4,13,453,600,4769
343,0,0,4.2,253,4,62,1543,250,5004
344,0,0,3.7,61,4,20,308,600,5004
345,1,0,3.8,155,54,20,1571,400,4145
346,1,0,3.9,233,30,20,1003,800,872
347,1,0,3.7,264,54,20,1208,750,3503
348,0,0,4.1,238,4,62,1543,600,5004
349,1,0,4.1,176,4,20,67,800,3276
350,1,0,3.7,93,4,62,1624,200,1717
351,0,0,3.8,124,4,62,1570,300,5004
352,1,0,4.3,275,4,62,1543,100,5004
353,0,0,4.2,254,4,62,1543,150,5004
354,0,0,4.1,177,4,62,1543,100,5004
355,1,0,4.0,132,4,62,815,200,5004
356,1,0,3.8,74,4,62,1585,300,4369
357,1,0,3.6,172,79,20,1192,700,5004
358,1,0,3.9,543,4,62,1567,300,5004
359,0,0,4.0,52,4,62,1543,300,5004
360,0,0,3.7,217,4,20,1277,450,5004
361,0,0,3.9,111,4,20,1254,700,5004
362,1,0,3.8,133,4,62,1632,200,4500
363,0,0,3.8,39,30,62,1583,250,5004
364,0,0,4.0,64,4,62,1543,200,5004
365,0,0,3.8,148,4,62,871,150,5004
366,0,0,3.8,55,75,44,593,300,5004
367,0,1,3.8,977,1,46,876,1300,5004
368,0,0,4.1,868,1,57,702,1200,5004
369,0,0,3.3,62,1,4,1585,800,5004
370,0,0,3.0,98,1,4,1192,800,5004
371,0,0,2.7,377,4,57,1288,1100,5004
372,1,1,4.4,2487,3,57,1339,900,5004
373,1,1,4.2,1964,3,20,86,1000,451
374,1,0,4.3,3178,3,20,1398,750,2867
375,1,0,3.3,455,3,20,49,550,2387
376,0,1,4.7,3845,28,20,1321,1600,5004
377,0,0,4.3,353,28,20,1412,1200,5004
378,0,1,4.1,1234,28,20,1419,800,5004
379,1,1,4.1,1538,28,20,163,1000,1364
380,1,1,3.8,756,28,20,1152,1000,5004
381,1,1,4.0,347,28,20,1291,1000,5004
382,0,1,4.0,165,28,20,1588,1000,5004
383,0,0,3.3,177,28,20,1218,950,5004
384,1,0,3.0,102,0,20,1585,600,2774
385,0,1,4.0,200,3,13,381,700,5004
386,1,0,3.9,102,3,13,350,450,4821
387,1,0,3.7,171,3,13,330,300,1163
388,1,0,3.7,37,3,13,357,400,2903
389,1,0,3.9,40,3,41,440,400,610
390,0,0,3.9,125,3,13,444,500,5004
391,1,0,3.9,49,3,13,330,600,1760
392,0,0,3.8,69,3,14,348,700,5004
393,0,0,3.9,78,3,13,330,350,5004
394,1,0,2.7,48,3,65,547,650,3372
395,1,0,4.1,46,28,13,500,600,4531
396,0,0,4.0,129,28,13,381,600,5004
397,1,1,3.9,727,28,13,414,800,386
398,0,0,4.1,521,28,13,402,550,5004
399,1,0,4.1,203,28,65,364,650,304
400,1,1,4.4,4381,28,22,1464,600,2223
401,1,0,3.7,131,28,13,502,400,2710
402,1,0,3.7,46,28,13,316,450,4842
403,0,0,3.4,48,28,13,434,550,5004
404,1,0,3.7,127,28,13,465,700,501
405,1,0,2.7,85,28,13,494,500,3062
406,1,0,3.7,335,0,20,64,800,5004
407,1,0,3.8,254,0,20,280,800,2435
408,1,0,4.1,63,28,72,867,300,2193
409,1,0,4.0,244,0,62,200,400,5004
410,1,0,2.9,255,0,62,1152,250,5004
411,1,0,4.5,549,0,30,771,400,5004
412,1,0,4.1,775,0,62,1593,300,5004
413,1,0,3.6,208,28,72,283,300,4823
414,1,0,4.1,739,28,29,563,500,4622
415,1,0,3.8,310,3,62,1152,400,1102
416,1,0,4.0,126,0,62,1152,150,1901
417,1,0,4.1,427,3,72,1388,500,1873
418,1,0,4.0,197,0,62,1152,300,5004
419,1,0,4.1,601,0,62,1473,700,4767
420,1,0,3.9,488,28,72,271,400,1130
421,1,0,4.0,396,3,62,1585,400,5004
422,1,0,3.6,474,0,62,1231,450,5004
423,1,0,2.9,172,0,62,1192,300,3171
424,1,0,3.1,175,3,62,41,250,5004
425,1,0,4.0,939,0,20,556,600,5004
426,1,0,3.9,173,0,62,1457,250,4858
427,1,0,3.9,77,3,62,1152,400,345
428,1,0,3.9,326,0,13,1191,200,5004
429,1,0,3.3,212,28,62,234,350,1270
430,1,0,4.1,464,0,62,1175,300,5004
431,1,0,3.3,628,3,29,920,450,4113
432,1,0,3.6,518,28,20,1585,400,2823
433,1,0,3.9,70,3,30,765,350,586
434,1,0,3.9,62,28,62,322,300,1080
435,1,0,4.4,819,30,30,952,400,5004
436,1,1,4.2,1964,3,20,86,1000,449
437,1,0,4.0,138,3,29,233,650,1967
438,1,0,3.3,455,3,20,49,550,2386
439,1,0,3.8,181,3,41,1177,600,3633
440,1,0,3.6,43,28,62,309,300,812
441,1,0,2.7,159,28,62,1461,750,4188
442,1,0,3.2,166,3,62,1503,600,5004
443,1,0,3.7,128,3,72,280,400,2745
444,1,0,2.9,126,0,62,563,300,542
445,1,0,4.0,952,30,62,1351,400,1965
446,1,0,3.8,472,3,62,321,600,1806
447,1,1,4.0,739,3,20,294,800,2958
448,1,0,3.9,255,0,20,49,500,1095
449,1,0,4.0,1974,28,20,292,800,4653
450,1,1,4.2,1428,28,20,63,800,1365
451,1,0,4.0,332,28,62,1585,300,5004
452,1,1,4.0,199,28,62,1472,700,2210
453,1,0,3.9,437,28,62,320,400,661
454,1,0,3.8,207,3,20,235,700,933
455,1,1,4.4,4381,28,22,1464,600,5004
456,1,0,3.8,55,3,62,1585,300,5004
457,1,0,4.0,597,3,62,1152,400,1549
458,1,0,3.0,102,0,20,1585,600,5004
459,1,0,3.9,189,0,62,254,300,1176
460,1,0,3.7,131,28,13,502,400,5004
461,1,0,4.2,373,28,20,264,750,5004
462,1,0,3.9,435,0,20,195,650,2984
463,1,0,4.1,292,0,20,248,700,5004
464,1,0,3.6,137,3,62,83,300,5004
465,1,0,3.2,133,3,20,1205,500,5004
466,1,0,3.9,37,28,72,1514,250,3844
467,1,0,3.7,170,28,62,860,200,5004
468,1,0,3.6,794,3,20,284,550,4165
469,1,0,4.6,404,3,20,0,1000,5004
470,1,1,3.9,561,3,20,1152,900,5004
471,1,1,3.9,486,0,13,708,700,5004
472,1,0,3.9,320,3,20,1192,650,2484
473,1,0,4.1,237,28,30,789,500,2614
474,1,1,3.9,1227,3,20,114,900,1162
475,1,0,4.0,95,3,29,1109,600,4890
476,1,1,4.1,1538,28,20,163,1000,2463
477,1,0,3.7,110,3,20,42,800,3491
478,1,0,4.1,381,0,62,83,250,4027
479,1,0,3.9,251,3,29,1186,500,1018
480,1,0,3.0,353,28,62,1281,400,5004
481,1,0,4.0,205,28,29,1177,450,2019
482,1,0,3.9,183,0,62,866,250,4637
483,1,0,3.9,99,3,30,952,400,5004
484,1,0,4.1,260,28,62,1152,300,5004
485,1,0,3.9,355,0,62,1192,400,5004
486,1,0,4.1,83,0,62,854,400,5004
487,1,0,2.5,321,28,62,1237,400,3358
488,1,0,3.9,362,0,20,1152,600,5004
489,1,1,4.2,2166,28,60,10,1200,1749
490,1,0,4.0,182,28,69,1117,400,5004
491,1,1,3.8,500,3,20,1433,1000,5004
492,1,0,4.0,532,3,20,608,800,5004
493,1,1,3.5,551,3,20,1232,600,5004
494,1,0,4.2,421,3,20,602,700,5004
495,1,0,3.7,662,28,20,199,650,5004
496,1,0,3.8,54,3,62,298,500,3747
497,1,0,4.1,92,0,62,535,300,910
498,1,0,3.7,36,28,29,280,600,717
499,1,0,4.2,2350,28,20,1152,800,5004
500,1,0,3.9,49,3,13,330,600,5004
501,1,0,3.7,184,0,62,856,400,5004
502,1,1,3.6,225,3,20,284,700,4340
503,1,0,4.0,35,0,32,773,300,486
504,1,0,4.0,869,0,29,248,500,1272
505,1,0,4.0,153,28,62,1633,200,5004
506,1,0,3.7,139,3,62,1264,400,5004
507,1,0,3.7,181,3,29,280,500,5004
508,1,0,3.9,669,0,20,1152,500,4345
509,1,0,3.7,168,3,62,1106,600,5004
510,1,0,3.8,170,3,62,1252,250,5004
511,1,0,4.0,112,28,62,1645,200,5004
512,1,0,3.8,58,0,62,201,300,3774
513,1,0,4.0,167,30,62,1585,400,5004
514,1,0,3.9,85,28,62,1486,300,5004
515,1,0,2.6,473,0,62,998,600,890
516,1,0,3.7,217,28,20,1419,500,5004
517,1,0,3.6,192,0,29,914,450,5004
518,1,1,4.2,611,0,21,139,1500,1759
519,1,0,4.0,166,3,29,1461,750,1705
520,1,0,4.1,46,28,13,500,600,5004
521,1,1,4.4,2233,3,21,742,1200,5004
522,1,0,4.0,107,0,62,1152,300,5004
523,1,0,4.2,306,0,29,1041,600,5004
524,1,1,3.8,756,28,20,1152,1000,5004
525,1,1,4.4,4309,28,52,623,1600,5004
526,1,0,4.0,212,3,62,1152,400,5004
527,1,0,2.9,153,3,62,195,600,5004
528,1,0,4.0,827,0,20,1486,500,5004
529,1,0,4.0,256,3,62,320,500,5004
530,1,0,3.9,40,3,41,440,400,5004
531,1,0,3.9,73,3,72,1574,400,5004
532,1,0,4.2,169,28,13,359,600,5004
533,1,0,4.1,586,28,20,556,700,5004
534,1,0,3.5,221,0,70,1115,400,5004
535,1,0,3.5,177,0,62,201,500,5004
536,1,0,3.9,347,28,20,607,600,5004
537,1,0,3.0,347,3,62,1470,800,3093
538,1,0,3.9,385,28,62,1472,600,5004
539,1,0,4.0,1305,28,20,623,750,5004
540,1,0,3.0,122,3,20,607,500,5004
541,1,0,4.3,539,28,62,615,300,5004
542,1,1,3.9,681,3,20,1270,800,5004
543,1,0,3.8,106,28,29,304,350,5004
544,1,1,4.1,1025,3,20,1152,1000,5004
545,1,0,3.6,132,3,12,1648,250,5004
546,1,0,4.2,289,3,62,6,400,5004
547,1,0,3.9,407,28,20,1192,500,5004
548,1,0,3.9,201,3,62,1192,250,5004
549,1,0,3.7,37,3,13,357,400,5004
550,1,0,4.1,203,28,65,364,650,304
551,1,0,3.1,320,28,20,1380,600,5004
552,1,1,3.8,257,3,20,72,800,5004
553,1,0,3.8,46,28,62,1461,450,5004
554,1,0,3.9,102,3,13,350,450,5004
555,1,1,4.2,237,28,22,347,600,5004
556,1,0,3.7,108,3,62,1080,600,5004
557,1,0,3.9,34,28,20,1087,750,5004
558,1,0,3.2,144,3,62,1214,350,2433
559,1,1,4.2,1028,28,21,612,1100,5004
560,1,0,3.8,84,3,29,37,600,3848
561,1,0,4.0,181,28,20,1210,550,5004
562,1,0,4.0,128,0,30,945,230,3206
563,1,0,3.8,171,28,62,1152,250,5004
564,1,0,3.9,200,28,62,1083,400,5004
565,1,0,3.0,114,3,20,519,1000,5004
566,1,0,3.8,146,28,20,519,600,5004
567,1,0,4.2,248,0,32,208,500,370
568,1,1,4.1,583,28,21,686,1200,5004
569,1,0,3.7,42,28,62,1192,500,5004
570,1,0,3.7,171,3,13,330,300,5004
571,1,0,3.7,79,28,62,824,500,5004
572,1,0,3.7,46,28,13,316,450,5004
573,0,0,4.2,1278,3,20,42,800,5004
574,1,0,3.4,276,0,66,1451,250,5004
575,1,0,3.1,64,28,20,1550,750,5004
576,1,0,4.0,69,0,30,771,300,5004
577,1,0,3.7,288,46,62,1192,500,3502
578,1,0,4.3,676,3,45,770,500,5004
579,1,0,4.1,140,28,62,1543,100,5004
580,1,0,4.0,65,28,9,215,600,4448
581,1,1,4.1,448,28,20,693,700,5004
582,1,0,4.0,203,0,14,348,500,5004
583,1,0,3.1,166,3,62,1215,600,5004
584,1,1,4.1,1320,28,20,1218,1200,5004
585,1,0,4.0,116,28,20,602,400,5004
